T/1	Light/1	Pupil/3			
280	0.0000	0.0000	0.0000	0.3026	
281	0.0000	0.0000	0.0000	0.3026	
282	0.0000	0.0000	0.0000	0.3027	
283	0.0000	0.0000	0.0000	0.3027	
284	0.0000	0.0000	0.0000	0.3027	
285	0.0000	0.0000	0.0000	0.3027	
286	0.0000	0.0000	0.0000	0.3028	
287	0.0000	0.0000	0.0000	0.3028	
288	0.0000	0.0000	0.0000	0.3028	
289	0.0000	0.0000	0.0000	0.3028	
290	0.0000	0.0000	0.0000	0.3028	
291	0.0000	0.0000	0.0000	0.3029	
292	0.0000	0.0000	0.0000	0.3029	
293	0.0000	0.0000	0.0000	0.3029	
294	0.0000	0.0000	0.0000	0.3029	
295	0.0000	0.0000	0.0000	0.3029	
296	0.0000	0.0000	0.0000	0.3029	
297	0.0000	0.0000	0.0000	0.3029	
298	0.0000	0.0000	0.0000	0.3030	
299	0.0000	0.0000	0.0000	0.3030	
300	0.0000	0.0000	0.0000	0.3030	
301	0.0000	0.0000	0.0000	0.3030	
302	1.0000	0.0000	0.0000	0.3030	
303	1.0000	0.0000	0.0000	0.3030	
304	1.0000	0.0000	0.0000	0.3030	
305	1.0000	0.0000	0.0000	0.3030	
306	1.0000	0.0000	0.0000	0.3030	
307	1.0000	0.0000	0.0000	0.3030	
308	0.0000	0.0000	0.0000	0.3031	
309	0.0000	0.0000	0.0000	0.3031	
310	0.0000	0.0000	0.0000	0.3031	
311	0.0000	0.0000	0.0000	0.3031	
312	0.0000	0.0000	0.0000	0.3031	
313	0.0000	0.0000	0.0000	0.3031	
314	0.0000	0.0000	0.0000	0.3031	
315	0.0000	0.0000	0.0000	0.3031	
316	0.0000	0.0000	0.0000	0.3031	
317	0.0000	0.0000	0.0000	0.3031	
318	0.0000	0.0000	0.0000	0.3031	
319	0.0000	0.0000	0.0000	0.3030	
320	0.0000	0.0000	0.0000	0.3028	
321	0.0000	0.0000	0.0000	0.3025	
322	0.0000	0.0000	0.0000	0.3020	
323	0.0000	0.0000	0.0000	0.3012	
324	0.0000	0.0000	0.0000	0.3003	
325	0.0000	0.0000	0.0000	0.2990	
326	0.0000	0.0000	0.0000	0.2976	
327	0.0000	0.0000	0.0000	0.2959	
328	0.0000	0.0000	0.0000	0.2941	
329	0.0000	0.0000	0.0000	0.2922	
330	0.0000	0.0000	0.0000	0.2902	
331	0.0000	0.0000	0.0000	0.2880	
332	0.0000	0.0000	0.0000	0.2859	
333	0.0000	0.0000	0.0000	0.2838	
334	0.0000	0.0000	0.0000	0.2816	
335	0.0000	0.0000	0.0000	0.2795	
336	0.0000	0.0000	0.0000	0.2775	
337	0.0000	0.0000	0.0000	0.2755	
338	0.0000	0.0000	0.0000	0.2737	
339	0.0000	0.0000	0.0000	0.2719	
340	0.0000	0.0000	0.0000	0.2702	
341	0.0000	0.0000	0.0000	0.2687	
342	0.0000	0.0000	0.0000	0.2673	
343	0.0000	0.0000	0.0000	0.2660	
344	0.0000	0.0000	0.0000	0.2648	
345	0.0000	0.0000	0.0000	0.2638	
346	0.0000	0.0000	0.0000	0.2629	
347	0.0000	0.0000	0.0000	0.2621	
348	0.0000	0.0000	0.0000	0.2615	
349	0.0000	0.0000	0.0000	0.2609	
350	0.0000	0.0000	0.0000	0.2605	
351	0.0000	0.0000	0.0000	0.2602	
352	0.0000	0.0000	0.0000	0.2600	
353	0.0000	0.0000	0.0000	0.2599	
354	0.0000	0.0000	0.0000	0.2599	
355	0.0000	0.0000	0.0000	0.2600	
356	0.0000	0.0000	0.0000	0.2602	
357	0.0000	0.0000	0.0000	0.2605	
358	0.0000	0.0000	0.0000	0.2608	
359	0.0000	0.0000	0.0000	0.2612	
360	0.0000	0.0000	0.0000	0.2617	
361	0.0000	0.0000	0.0000	0.2622	
362	0.0000	0.0000	0.0000	0.2628	
363	0.0000	0.0000	0.0000	0.2635	
364	0.0000	0.0000	0.0000	0.2641	
365	0.0000	0.0000	0.0000	0.2648	
366	0.0000	0.0000	0.0000	0.2656	
367	0.0000	0.0000	0.0000	0.2663	
368	0.0000	0.0000	0.0000	0.2671	
369	0.0000	0.0000	0.0000	0.2680	
370	0.0000	0.0000	0.0000	0.2688	
371	0.0000	0.0000	0.0000	0.2696	
372	0.0000	0.0000	0.0000	0.2705	
373	0.0000	0.0000	0.0000	0.2713	
374	0.0000	0.0000	0.0000	0.2722	
375	0.0000	0.0000	0.0000	0.2731	
376	0.0000	0.0000	0.0000	0.2739	
377	0.0000	0.0000	0.0000	0.2748	
378	0.0000	0.0000	0.0000	0.2757	
379	0.0000	0.0000	0.0000	0.2765	
380	0.0000	0.0000	0.0000	0.2774	
381	0.0000	0.0000	0.0000	0.2782	
382	0.0000	0.0000	0.0000	0.2790	
