T/1	Light/1	Pupil/3			
185	0.0000	0.0000	0.0000	0.3030	
186	0.0000	0.0000	0.0000	0.3030	
187	0.0000	0.0000	0.0000	0.3030	
188	0.0000	0.0000	0.0000	0.3030	
189	0.0000	0.0000	0.0000	0.3030	
190	0.0000	0.0000	0.0000	0.3030	
191	0.0000	0.0000	0.0000	0.3030	
192	0.0000	0.0000	0.0000	0.3030	
193	0.0000	0.0000	0.0000	0.3030	
194	0.0000	0.0000	0.0000	0.3030	
195	0.0000	0.0000	0.0000	0.3031	
196	0.0000	0.0000	0.0000	0.3031	
197	0.0000	0.0000	0.0000	0.3031	
198	0.0000	0.0000	0.0000	0.3031	
199	0.0000	0.0000	0.0000	0.3031	
200	0.0000	0.0000	0.0000	0.3031	
201	0.0000	0.0000	0.0000	0.3031	
202	0.0000	0.0000	0.0000	0.3031	
203	0.0000	0.0000	0.0000	0.3031	
204	0.0000	0.0000	0.0000	0.3031	
205	0.0000	0.0000	0.0000	0.3031	
206	0.0000	0.0000	0.0000	0.3031	
207	0.0000	0.0000	0.0000	0.3031	
208	0.0000	0.0000	0.0000	0.3031	
209	0.0000	0.0000	0.0000	0.3031	
210	0.0000	0.0000	0.0000	0.3031	
211	0.0000	0.0000	0.0000	0.3031	
212	0.0000	0.0000	0.0000	0.3031	
213	0.0000	0.0000	0.0000	0.3031	
214	0.0000	0.0000	0.0000	0.3031	
215	0.0000	0.0000	0.0000	0.3031	
216	0.0000	0.0000	0.0000	0.3031	
217	0.0000	0.0000	0.0000	0.3031	
218	0.0000	0.0000	0.0000	0.3031	
219	0.0000	0.0000	0.0000	0.3031	
220	0.0000	0.0000	0.0000	0.3032	
221	0.0000	0.0000	0.0000	0.3032	
222	0.0000	0.0000	0.0000	0.3032	
223	0.0000	0.0000	0.0000	0.3032	
224	0.0000	0.0000	0.0000	0.3032	
225	0.0000	0.0000	0.0000	0.3032	
226	0.0000	0.0000	0.0000	0.3032	
227	0.0000	0.0000	0.0000	0.3032	
228	0.0000	0.0000	0.0000	0.3032	
229	0.0000	0.0000	0.0000	0.3032	
230	0.0000	0.0000	0.0000	0.3032	
231	0.0000	0.0000	0.0000	0.3032	
232	0.0000	0.0000	0.0000	0.3032	
233	0.0000	0.0000	0.0000	0.3032	
234	0.0000	0.0000	0.0000	0.3032	
235	0.0000	0.0000	0.0000	0.3032	
236	0.0000	0.0000	0.0000	0.3032	
237	0.0000	0.0000	0.0000	0.3032	
238	0.0000	0.0000	0.0000	0.3032	
239	0.0000	0.0000	0.0000	0.3032	
240	0.0000	0.0000	0.0000	0.3032	
241	0.0000	0.0000	0.0000	0.3032	
242	0.0000	0.0000	0.0000	0.3032	
243	0.0000	0.0000	0.0000	0.3032	
244	0.0000	0.0000	0.0000	0.3032	
245	0.0000	0.0000	0.0000	0.3032	
246	0.0000	0.0000	0.0000	0.3032	
247	0.0000	0.0000	0.0000	0.3032	
248	0.0000	0.0000	0.0000	0.3032	
249	0.0000	0.0000	0.0000	0.3032	
250	0.0000	0.0000	0.0000	0.3032	
251	0.0000	0.0000	0.0000	0.3032	
